Estados;Homicidio Doloso;Latrocinio;Mortes Violentas Intencionais;Taxa;Pop urbana
Acre;207;6;237;28,6;72,61
Alagoas;1107;25;1186;37,9;73,64
Amapá;218;22;371;50,6;89,81
Amazonas;1340;56;1531;38,8;79,17
Bahia;5044;87;6659;47,1;72,07
Ceará;2913;44;3123;35,5;75,09
Distrito Federal;277;21;318;11,3;96,62
Espírito Santo;1003;28;1122;29,3;85,29
Goiás;1183;32;1780;25,2;90,29
Maranhão;1701;95;1897;28;63,07
Mato Grosso;923;29;1072;29,3;81,9
Mato Grosso do Sul;496;13;515;18,7;85,64
Minas Gerais;2484;74;2588;12,6;83,38
Pará;2266;83;2997;36,9;68,49
Paraíba;999;34;1090;27,4;75,37
Paraná;2025;54;2595;22,7;85,31
Pernambuco;3305;103;3423;37,8;80,15
Piauí;785;25;818;25;65,77
Rio de Janeiro;3059;64;4485;27,9;96,71
Rio Grande do Norte;996;32;1212;36,7;77,82
Rio Grande do Sul;1853;49;2044;18,8;85,1
Rondônia;526;13;542;34,3;73,22
Roraima;173;7;194;30,5;76,41
Santa Catarina;597;25;689;9,1;83,99
São Paulo;3044;178;3735;8,4;95,88
Sergipe;579;11;768;34,8;73,51
Tocantins;416;19;461;30,5;78,81
